iter	Passed	Remaining
0	2	205
1	3	189
2	5	182
3	7	168
4	8	166
5	10	164
6	12	165
7	14	165
8	16	163
9	17	160
10	19	158
11	21	156
12	23	154
13	24	152
14	26	151
15	28	148
16	30	146
17	31	144
18	33	142
19	35	140
20	36	138
21	38	136
22	40	134
23	42	133
24	43	131
25	45	129
26	47	128
27	49	126
28	51	124
29	52	122
30	54	121
31	55	118
32	57	117
33	59	115
34	61	113
35	62	111
36	64	109
37	66	107
38	67	105
39	69	103
40	70	102
41	71	98
42	73	97
43	74	95
44	76	93
45	78	91
46	79	90
47	81	88
48	83	86
49	84	84
50	86	82
51	87	81
52	89	79
53	91	77
54	92	75
55	93	73
56	95	71
57	96	70
58	98	68
59	100	66
60	101	65
61	103	63
62	104	61
63	106	60
64	108	58
65	109	56
66	111	54
67	113	53
68	114	51
69	116	49
70	117	48
71	119	46
72	121	44
73	123	43
74	124	41
75	126	39
76	128	38
77	130	36
78	131	35
79	133	33
80	135	31
81	136	30
82	138	28
83	139	26
84	141	24
85	142	23
86	144	21
87	145	19
88	147	18
89	148	16
90	150	14
91	151	13
92	153	11
93	154	9
94	156	8
95	157	6
96	158	4
97	160	3
98	161	1
99	163	0
